Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
When I'm Gone,3 Doors Down,Away from the Sun,https://geo.music.apple.com/ca/album/when-im-gone/1440739556?i=1440739780&app=music&at=11lt62&ct=tracklink,2021-07-10 12.40.00.jpg (https://dl.airtable.com/.attachments/079c568c87ff0680eea2364525ee6e02/4eea9db1/2021-07-1012.40.00.jpg),
What's Up?,4 Non Blondes,"""Bigger, Better, Faster, More!""",https://geo.music.apple.com/ca/album/whats-up/1440902342?i=1440902348&app=music&at=11lt62&ct=tracklink,2021-07-10 23.35.55.jpg (https://dl.airtable.com/.attachments/e04d41cf6a3b95242289ff4a49534413/0ea75ac5/2021-07-1023.35.55.jpg),
Lie to Me,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/lie-to-me/1369109074?i=1369109324&app=music&at=11lt62&ct=tracklink,2021-07-10 12.38.54.jpg (https://dl.airtable.com/.attachments/55ced7010525aa044db1fda439d9a51e/ff670e2c/2021-07-1012.38.54.jpg),
Valentine,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/valentine/1369109074?i=1369109325&app=music&at=11lt62&ct=tracklink,2021-07-10 12.38.58.jpg (https://dl.airtable.com/.attachments/8883f16b9dffca75bdecf2266f941d38/3b9215b0/2021-07-1012.38.58.jpg),
Want You Back,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/want-you-back/1369109074?i=1369109323&app=music&at=11lt62&ct=tracklink,2021-07-10 12.39.02.jpg (https://dl.airtable.com/.attachments/d962fb34a61be5719593b60450f49bc3/3680b9f3/2021-07-1012.39.02.jpg),
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/youngblood/1369109074?i=1369109322&app=music&at=11lt62&ct=tracklink,2021-07-10 12.39.07.jpg (https://dl.airtable.com/.attachments/0868f214e54db24fda75d2b7b171c27b/c05f016d/2021-07-1012.39.07.jpg),
Fallen Blixkys,22Gz,Fallen Blixkys - Single,https://geo.music.apple.com/ca/album/fallen-blixkys/1541423263?i=1541423264&app=music&at=11lt62&ct=tracklink,2021-07-10 23.38.55.jpg (https://dl.airtable.com/.attachments/d74149620c4d31e69288c01cd3552560/83d83e64/2021-07-1023.38.55.jpg),
Blixky Gang Freestyle Pt. 2,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/blixky-gang-freestyle-pt-2/1557548785?i=1557549245&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.24.jpg (https://dl.airtable.com/.attachments/0c502e84f8e9f97642d9f78b5e249dfe/f33cd931/2021-07-1012.42.24.jpg),
Casa,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/casa/1557548785?i=1557549378&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.18.jpg (https://dl.airtable.com/.attachments/67b25559c6bd015fa1cbb266491fea7e/8321f426/2021-07-1012.42.18.jpg),
Collections,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/collections/1557548785?i=1557549368&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.34.jpg (https://dl.airtable.com/.attachments/63875154c658d3050c087702ef0dcd3d/cd81c4a0/2021-07-1012.42.34.jpg),
"GTA (feat. Jah Floxks, Balenci & Saint Laurent Sour)",22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/gta-feat-jah-floxks-balenci-saint-laurent-sour/1557548785?i=1557549586&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.39.jpg (https://dl.airtable.com/.attachments/9252f24c8ef8c61b79dcb7e132b033ba/a4b8901e/2021-07-1012.42.39.jpg),
Jokes Up,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/jokes-up/1557548785?i=1557549234&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.43.jpg (https://dl.airtable.com/.attachments/5bf3a410255aac171b861b2a0765e79d/b9735f3a/2021-07-1012.42.43.jpg),
LLNB,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/llnb/1557548785?i=1557549583&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.48.jpg (https://dl.airtable.com/.attachments/429c6761df53f741f927167af1ec580b/ad85cfe8/2021-07-1012.42.48.jpg),
Never Be The Same (feat. Jackboy),22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/never-be-the-same-feat-jackboy/1557548785?i=1557549236&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.52.jpg (https://dl.airtable.com/.attachments/9d2812c771c92c37975256be282e6db6/9394db26/2021-07-1012.42.52.jpg),
No Love City (feat. Julio Foolio & SPMB Bills),22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/no-love-city-feat-julio-foolio-spmb-bills/1557548785?i=1557549241&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.56.jpg (https://dl.airtable.com/.attachments/31e6405cfb0fc2f4861a51bcc1fbbba0/38fb60ca/2021-07-1012.42.56.jpg),
Pornstar,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/pornstar/1557548785?i=1557549375&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.00.jpg (https://dl.airtable.com/.attachments/6a3d4c67144fad24f74e867b59da27d3/2325e2e6/2021-07-1012.43.00.jpg),
Twirlanta,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/twirlanta/1557548785?i=1557548792&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.04.jpg (https://dl.airtable.com/.attachments/14b2509bb955b4e0d6d28dc535a8af42/830bb5e8/2021-07-1012.43.04.jpg),
Waterfall,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/waterfall/1557548785?i=1557549370&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.08.jpg (https://dl.airtable.com/.attachments/fef4bf28883fd469b382a6d293abe554/c457bb61/2021-07-1012.43.08.jpg),
Morrow,070 Shake,Morrow - Single,https://geo.music.apple.com/ca/album/morrow/1458826526?i=1458826527&app=music&at=11lt62&ct=tracklink,,
